Card#,Title,Artist,Year,URL,Youtube-Title,Hashed Info
31,No One,Alicia Keys,2007,https://www.youtube.com/watch?v=rywUS-ohqeE,Alicia Keys - No One (Official Music Video),9bf34f95419ac6f733d3f2ffda9d0773f7e78c63b179ad776f11bfef931e40f4
32,I Got You (I Feel Good),James Brown,1965,https://www.youtube.com/watch?v=pTdihu-mp90,James Brown - I Got You (I Feel Good) (Visualizer),af2e267a8f2475fb0278196a159630d2ab4f4b49f7f4144cf3612a2bc05351e7
33,Barracuda,Heart,1977,https://www.youtube.com/watch?v=VdOkQ6THDVw,Heart - Barracuda (Audio),1e3124eab4cad25522e92c3e46d64c3ce71fa9f6cd7300d2b7153433ed0493bb
34,School's Out,Alice Cooper,1972,https://www.youtube.com/watch?v=RWgTD_0jxeE,School's Out (2002 Remaster),bf38a3d3c7f99626889813e53129396efee3132b3982dbc80a5620564a414a6c
35,"Sugar, Sugar",The Archies,1969,https://www.youtube.com/watch?v=5rmwDnOozWU,"Sugar, Sugar",6dba9295aa041fcbe181690fd86aab85c090f13da8c1435f930406a2541e5398
36,Le Freak,Chic,1978,https://www.youtube.com/watch?v=7KP7bdFv_qg,Le Freak (Edit),b00dc35d890fc132bf52a7b6e301533e8f1cc690cbd9d8b1d936b6666dec0961
37,(I've had) The Time Of My Life,Bill Medley & Jennifer Warnes,1987,https://www.youtube.com/watch?v=4BQLE_RrTSU,"Bill Medley, Jennifer Warnes - (I've Had) The Time Of My Life (Official HD Video)",e64a7fa9c67ae33d4af3e5dd729884adb406a0d38fa58c84228edcf437ee2cd4
38,Born To Be Alive,Patrick Hernandez,1978,https://www.youtube.com/watch?v=9UaJAnnipkY,Patrick Hernandez - Born to Be Alive - Official Video (Clip Officiel),4a7126a0e1032e034f45a0ce3291fc3d1aa964425d73a44f6b940f2bbccc70de
39,Heaven,Bryan Adams,1984,https://www.youtube.com/watch?v=vf3zFvcKQkw,Bryan Adams - Heaven (Classic Version),56449b2bbcaed2fe4393da7f300fd87afae5d325c74ae2b8361a7a5ecd26d2d6
40,Dynamite,BTS,2020,https://www.youtube.com/watch?v=Mzk6KkyxXC8,BTS - Dynamite (Lyrics),bae7592edcbf1a02fa8c1e647881adfe581dff2a944973f01b8bde2ac264ef19
41,Smells Like Teen Spirit,Nirvana,1991,https://www.youtube.com/watch?v=hTWKbfoikeg,Nirvana - Smells Like Teen Spirit (Official Music Video),24463589897e88323496df7a01d934b95debb1b092383c8f3e96efdcad0ce5f2
42,Never Gonna Give You Up,Rick Astley,1987,https://www.youtube.com/watch?v=dQw4w9WgXcQ,Rick Astley - Never Gonna Give You Up (Official Music Video),ea6432992331a13184e0de40254b4992a133dcca7f4adf8831759fbc99d89bba
43,Knock On Wood,Amii Stewart,1979,https://www.youtube.com/watch?v=oLS57N4kUN0,"Knock on Wood (7"" Edit)",5ef2efbe7d8da6f7d304db48bcb3af65262f5fae132a57b7fe62ec86738d04f0
44,My Heart Will Go On,Céline Dion,1997,https://www.youtube.com/watch?v=p79GmLNLMrY,Celine Dion - My Heart Will Go On (Lyrics),15fe73f07327c739ee56759fdc908c61ad0347a5669ca5a3670469b59903226d
45,These Boots Are Made For Walkin',Nancy Sinatra,1965,https://www.youtube.com/watch?v=TDmidrIDB4o,These Boots Are Made for Walkin',0fd7b9241acb95fcd27af6cd26d1fde906e2159ddfc57affb4e9f687d045ec4f
46,Hey Ya!,Outkast,2003,https://www.youtube.com/watch?v=RqIRp4QE-1k,OutKast - Hey Ya! (Lyrics),9a0bbafcac075d99c4425ba3e7d77b8b8a04a62adb31d7c3b6ebafa05ec94000
47,In The Summertime,Mungo Jerry,1970,https://www.youtube.com/watch?v=wvUQcnfwUUM,Mungo Jerry - In The Summertime ORIGINAL 1970,55b5579c419fff8cfb58dab8b4e75c0110d6ea74a2a7cb0a662b3a3d2c13217c
48,Follow You Down,Gin Blossoms,1996,https://www.youtube.com/watch?v=5LuH0ywYVQc,Gin Blossoms - Follow You Down (Official Music Video),ff07efd06e2f8f12d05544c30482cbf19562e99f5c2f53c31c83eebdf1076475
49,Manic Monday,The Bangles,1986,https://www.youtube.com/watch?v=SsmVgoXDq2w,The Bangles - Manic Monday (Official Video),b66a4a1d6b78d7b0cf71295259c454daa5985fc8c9a8a3e7caef64160a074f02
50,Get Busy,Sean Paul,2003,https://www.youtube.com/watch?v=oPQ3o14ksaM,Sean Paul - Get Busy/Like Glue (Official Video),5f5e21373359a17a67a71057f4c4f59df4802a97a059bee8566a71021cea7b2d
51,Guajira Guantanamera,Joseíto Fernández,1929,https://www.youtube.com/watch?v=gdYIpvnzoW8,Guajira guantanamera,87defd174ba0b7b5c96e3e1582a2ee89737363dfbfbc5e094ec39c39793ad81d
52,Don't Call Me Up,Mabel,2019,https://www.youtube.com/watch?v=V35iQO30Xys,Mabel - Don't Call Me Up,97f9f21bba5181ccfddb59502a1a07666cb9c6a3bba98b5203e597798e461fc7
53,"Hey, Soul Sister",Train,2009,https://www.youtube.com/watch?v=kVpv8-5XWOI,"Train - Hey, Soul Sister (Official Video)",2e631b35f67c4675ccfc7b47189974ec12e0c3964cc47b6abadc5ffdab34024b
54,I Love Rock 'N Roll,The Arrows,1975,https://www.youtube.com/watch?v=cJzPLhDf3-8,The Arrows - I Love Rock 'n' Roll (1975),ba34a0588ff1dceeb0ffa167f3b51f3ad3ab290a75c189fd1c6e72ca01d6fece
55,I'm A Believer,The Monkees,1966,https://www.youtube.com/watch?v=4PQAqprjOuA,I'm a Believer,21d3dac8e7a7ac97bf491f7ff5ba02203dd8cdcfa9155e06c6053add1ec3896f
56,Somebody Like You,Keith Urban,2002,https://www.youtube.com/watch?v=eiBinM-f-Pk,Keith Urban - Somebody Like You (Official Music Video),7d36690d2758d8447850747e8caf800e0315f75401396a4af46f681ba23c1aa6
57,The Rhythm Of The Night,Corona,1993,https://www.youtube.com/watch?v=OnT58cIJSpw,Corona - The Rhythm of the Night (Official Music Video),ffc5ec1642032c35c857aece7be8f5d1e2c4679afe0f9affeaf75943986b988d
58,Royals,Lorde,2012,https://www.youtube.com/watch?v=nlcIKh6sBtc,Lorde - Royals (US Version),e4c9b66057e248f5b33a4872bd6e6fabfdc1cc893543037f5a12cd1abada3424
59,Ironic,Alanis Morissette,1995,https://www.youtube.com/watch?v=H4bIXVTsJck,Ironic,edbbf31f6637a555323e85ce5cf29c1e7df959471f38ac612020b712ef39ae93
60,Wrecking Ball,Miley Cyrus,2013,https://www.youtube.com/watch?v=mRFHAvdwXXs,Miley Cyrus - Wrecking Ball (Audio),cc934e38d3ffe97b15410dce07a64508e537811ece7ff22b4ea6d622e997b432
61,Mony Mony,Tommy James And The Shondells,1968,https://www.youtube.com/watch?v=X_OoEx9WOl8,Tommy James and The Shondells - Mony Mony,0e6f7a79a027f61458857e6a653dca9ea06bc6c68000ff1652474cf192d54bb9
62,"I Can't Help Myself (Sugar Pier, Honey Bunch)",Four Tops,1965,https://www.youtube.com/watch?v=_Z2lWY-wkRs,I Can't Help Myself (Sugar Pie Honey Bunch),b3c4187b559da3168696d24248545387d5c280a0eade7a3fcc67552b904121cd
63,Turn the Beat Around,Vicki Sue Robinson,1976,https://www.youtube.com/watch?v=vz9pZW5OvM4,Vicki Sue Robinson - Turn the Beat Around (Audio),c5c6fee80df07d1a39fd9e8909e05793260b1d1c3a0f0305436efadc553559d7
64,You Sexy Thing,Hot Chocolate,1975,https://www.youtube.com/watch?v=iD4ympXPrWs,You Sexy Thing,81dc557e3d6e9643fff65bc5a67b4854f88611d8c54672f64c35f02575085692
65,All Of Me,John Legend,2013,https://www.youtube.com/watch?v=450p7goxZqg,John Legend - All of Me (Official Video),da23e6c481ce3cc0ed6aaf1defb3a67a2a98d8eff706493dea533fc6fe64e9e2
66,Poker Face,Lady Gaga,2008,https://www.youtube.com/watch?v=bESGLojNYSo,Lady Gaga - Poker Face (Official Music Video),7ab456a6e035796c5935d3b39de0948e5db928560a29f22e28d36c5375548ec5
67,Tubthumping (I Get Knocked Down),Chumbawamba,1997,https://www.youtube.com/watch?v=2H5uWRjFsGc,Chumbawamba - Tubthumping,dc03eefb78656f4f5ac36e8caa7e105d82dac554704026d008d920aafe0549ee
68,Everybody Knows,Leonard Cohen,1988,https://www.youtube.com/watch?v=Gxd23UVID7k,Leonard Cohen - Everybody Knows (Audio),634eff5701acca0e2e186e9d441c3ffbe0781159d19f3c6804feee0993055481
69,Return Of The Mack,Mark Morrisson,1996,https://www.youtube.com/watch?v=1ZfjB5P7RS0,Return of the Mack,c04bc92d6089df2815a66219eb1bd1dbd8297d76ea8ff90ccec606446555fb32
70,Rich Girl,Hall & Oates,1977,https://www.youtube.com/watch?v=AmHE65RAkSY,Daryl Hall & John Oates - Rich Girl (Official Audio),2c407fde0b535f86075ce6190cd43c2429f69b722ebd4710c137a06eab0610b8
71,Uprising,Muse,2009,https://www.youtube.com/watch?v=w8KQmps-Sog,Muse - Uprising [Official Video],f125ecb32ea107dffbf5144523a5ffaba144d5d434d478335b06d3f8a9a445b2
72,Haven't Met You Yet,Michael Bublé,2009,https://www.youtube.com/watch?v=rqthwCypho4,Michael Bublé - Haven't Met You Yet,e575f73d3ab2b125f5628d9326e2069d16adfbd03f940bde30c7f05c0d09c0ab
73,Hotel California,Eagles,1976,https://www.youtube.com/watch?v=BciS5krYL80,Hotel California (2013 Remaster),aef08fbc03eb9fd6757402c8b0aea669776b5a4838a09d91f9a1956b1e6d8e84
74,Johnny B. Goode,Chuck Berry,1958,https://www.youtube.com/watch?v=Uf4rxCB4lys,Johnny B. Goode,35e02617333a6f2b7905dd38452467a45aa0496e8b893c5f4f12b15f5cba11b1
75,Maneater,Dary Hall & John Oates,1982,https://www.youtube.com/watch?v=yRYFKcMa_Ek,Daryl Hall & John Oates - Maneater (Official Video),b6f9594aba3ce1a1261f6784e4f6505b41b35b55ede645da89a40611fed6fd93
76,La Donna È Mobile (Rigoletto),Enrico Caruso,1908,https://www.youtube.com/watch?v=RZNkoRb2iLQ,Enrico Caruso - La Donna e Mobile (Remastered),02724062dc5e32725d955acab8c7538c102c1a99bc1cec8a242d1af680d790c4
77,Happier,Marshmello and Bastille,2018,https://www.youtube.com/watch?v=m7Bc3pLyij0,Marshmello ft. Bastille - Happier (Official Music Video),cc001c1797584aa42729d5386181b3511004ea62914099452b0c6ae631bad2d7
78,Love Shack,The B-52's,1989,https://www.youtube.com/watch?v=9SOryJvTAGs,The B-52's - Love Shack (Official Music Video),691963f9970b395bdd224e49c1a294e8933ffa0d6b2b53cda2fa1f7dccc18ed2
79,Don't Leave Me This Way,Thelma Houston,1976,https://www.youtube.com/watch?v=rUdw7V-FC_Q,Don't Leave Me This Way,f168a443fe058bb2d39cff030657bb0cd5406dfc8da7e22848cde7c03cd81210
80,When I Need You,Leo Sayer,1977,https://www.youtube.com/watch?v=obC0MFHWJ0A,Leo Sayer - When I Need You (Official HD Music Video),3b63e9a9bb063cc4a61f12494b1cf37f703a70b53abff7423806002960fbd5d5
81,Sweet Caroline,Neil Diamond,1969,https://www.youtube.com/watch?v=4F_RCWVoL4s,Neil Diamond - Sweet Caroline (Audio),23a1e787e4963cad9614f3c7e4ea73051c124b4fc71a494553aa51ad1294b2ca
82,Feel,Robbie Williams,2002,https://www.youtube.com/watch?v=eK_tpyqtnsg,Feel,794b88f42bf45128f7a5881cde556a1594d12579b611827f2bb76222825b6802
83,In The Mood,Glenn Miller,1939,https://www.youtube.com/watch?v=dVh3ZzVDZik,Glenn Miller - In the Mood (Audio),73bfedf03a515d6352edfadd88d3f70567a3c4982c8759acebcdd557019095eb
84,Dancing in The Dark,Bruce Springsteen,1984,https://www.youtube.com/watch?v=8cNS_Mecbw8,Bruce Springsteen - Dancing In The Dark,ab771c24882ca71333bbd49ce79868209385d1f27ece2e1ccac5b80d2975d7ff
85,Without You,Avicii (feat. Sandro Cavazza),2017,https://www.youtube.com/watch?v=WRz2MxhAdJo,Avicii - Without You “Audio” ft. Sandro Cavazza,c89256563a05da06fb985311c7e16837e3d5c7524bb4479a0456fe22fc3a8501
86,Yeah!,Usher (feat. Lil Jon & Ludacris),2004,https://www.youtube.com/watch?v=GxBSyx85Kp8,"Usher - Yeah! (Official Video) ft. Lil Jon, Ludacris",58d0fb45c9c292e3d80891b7a87f3d62d7ae912c6a278e77ff4bda4b00b81877
87,Mr Vain,Culture Beat,1993,https://www.youtube.com/watch?v=V3qUoiwr5kQ,Mr. Vain,f01693d066cec43d39886a5f62cf6793b2722d5474e696149ce9acb20243ea3d
88,Uptown Funk,"Mark Ronson, Bruno Mars",2014,https://www.youtube.com/watch?v=OPf0YbXqDm0,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,6a47ea1a541a780030cb792f7c88a9342255ce620b12d7d389560602ceede79b
89,Joyride,Roxette,1991,https://www.youtube.com/watch?v=xCorJG9mubk,Roxette - Joyride (Official Video),c6079429a3075801a21f542944b1ba3db95e930ae6b4242b1227f5d477a4fef6
90,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,1954,https://www.youtube.com/watch?v=Ud_JZcC0tHI,Rock Around the Clock-Bill Haley-original song-1955,3762e4ecd152c544fb450f9f6e95504292bffca7eb58413f9a1f38334ce21696
91,Funkytown,Lipps Inc.,1980,https://www.youtube.com/watch?v=Z6dqIYKIBSU,Lipps Inc. - Funkytown (Audio),2fe1dc8407dee8dc1840232e130a8c7f66e679fe645442d3c21d6c191bb981c5
92,Right Here Waiting,Richard Marx,1989,https://www.youtube.com/watch?v=S_E2EHVxNAE,Richard Marx - Right Here Waiting (Official Music Video),77f87e7cb4b3d44591a338c76c12040395fe3cc142a2f7ef059009bf5c2b3949
93,Smalltown Boy,Bronski Beat,1984,https://www.youtube.com/watch?v=88sARuFu-tc,Bronski Beat - Smalltown Boy (Official Video),4854a0c51fd1d119b8e04e79528844b7e915fc8a4223f5c2e4ee3ce6280b3552
94,White Room,Cream,1968,https://www.youtube.com/watch?v=ond4Wp9nPhM,Cream - White Room,98df78b8247b0849f5ef7c6a5cd67aad5327e66a613560797b047bd3b9d0703f
95,Buffalo Stance,Neneh Cherry,1988,https://www.youtube.com/watch?v=rFXhBEj6mEE,Neneh Cherry - Buffalo Stance (Remastered),8fcff0edea6f1f5149f81add399b9b8874650df767005fde013903cdd15ffbcd
96,I Want You,Savage Garden,1996,https://www.youtube.com/watch?v=HQt6jIKNwgU,Savage Garden - I Want You,bc2c2e7e0a77d4088652a9c08253838da79f7f35ed7166803a8dbd33bbea69e4
97,Under The Bridge,Red Hot Chili Peppers,1991,https://www.youtube.com/watch?v=GLvohMXgcBo,Red Hot Chili Peppers - Under The Bridge [Official Music Video],0e49a9153d69eaf48a351487d70e5ef54902a5b31ffbed0df6bebb6c81cf4fc3
98,Superheroes,The Script,2014,https://www.youtube.com/watch?v=0y7ygEDRpSo,The Script - Superheroes (Audio),1932ff5f50d92fe0c7a6817e874ad4fa72c8d18fbed62e4f39f6af7afd5c5c89
99,Wonderwall,Oasis,1995,https://www.youtube.com/watch?v=FVdjZYfDuLE,Wonderwall (Remastered),8048295e218cc2632bf115afcb070617b374e672180dd7f0ed63fd5ffdb1e172
100,You Can't Hurry Love,The Supremes,1966,https://www.youtube.com/watch?v=ovoBi3pXD_A,The Supremes - You Can't Hurry Love (Official Lyric Video),a1a50686dd05464484b787a20b31fad5c8b9b2b464866575da0798f24236593e
101,Rehab,Amy Winehouse,2006,https://www.youtube.com/watch?v=KUmZp8pR1uc,Amy Winehouse - Rehab,e9581d4baf74336dd2b04d0113821ea755473b5eeb9ede61a0478524eb489ba7
102,Africa,TOTO,1982,https://www.youtube.com/watch?v=FTQbiNvZqaY,Toto - Africa (Official HD Video),7bca89f29ffc2a3f692285af89d200b2ad045e02c99ff4e75cceb8f4864b93f0
103,How You Remind Me,Nickelback,2001,https://www.youtube.com/watch?v=hhSLkkLl750,How You Remind Me,f52eaa9ef7ec96166acba718d78423498788921c9bd9ab290633f700b53b4c80
104,If I Could Turn Back Time,Cher,1989,https://www.youtube.com/watch?v=_eorELNxxrU,Cher - If I Could Turn Back Time (Lyrics),4611af8bc3edbeefe57796d35e5824d24c1a92c41d07f546adb675c16f1135bf
105,"See You Later, Alligator",Bill Haley & His Comets,1956,https://www.youtube.com/watch?v=NMP6IGJXG3o,"See You Later, Alligator",522710437c02cc32291f3c2daf37cc54fac4f91f60573b6457cacf7ae96cbba2
106,Stayin' Alive,Bee Gees,1977,https://www.youtube.com/watch?v=fNFzfwLM72c,Bee Gees - Stayin' Alive (Official Music Video),200914878307402433eb90316e18dc14617e3658282fa0a3500b9b5653f36457
107,Gangsta's Paradise,Coolio (feat. L.V.),1995,https://www.youtube.com/watch?v=Tw0_qHNRAEA,Gangsta's Paradise,3a7fa3117a5a154583409dd45d8dbca3521259f7919c5a8e3915a49fa10b65f5
108,School,Supertramp,1974,https://www.youtube.com/watch?v=JgJRM_8GWHg,Supertramp - School (Audio),3d8769e98d200f5b6e1e7c53cef65c767dab06acc4e8d4112f23e9ddd022031d
109,Walk Of Life,Dire Straits,1985,https://www.youtube.com/watch?v=h2a20YL5mvg,Dire Straits - Walk of Life (Official Audio),bce795d9e3b5a6481c1c88a335a66fbb60fd5c99990d80647461e22a2854de7e
110,Jailhouse Rock,Elvis Presley,1957,https://www.youtube.com/watch?v=PpsUOOfb-vE,Elvis Presley - Jailhouse Rock (Official Audio),02242b58761eecaa7e201aefe62d48e2dd19cd3c0dae307f2ae401ec30cfb58a
111,It's In His Kiss (The Shoop Shoop Song),Betty Everett,1964,https://www.youtube.com/watch?v=B4KN6TFhy2I,Betty Everett - Shoop Shoop Song  (it´s in his kiss),302f34a8cc3c4cc61da9a61ea393d4d947be43a660929f56f6882b0484b0bab9
112,Wasted On You,Morgan Wallen,2022,https://www.youtube.com/watch?v=KE35_SlTdn4,Morgan Wallen – Wasted On You (Audio Only),e3610f313e1b44d1143b0a43712572cde777b923b5b6790472760900481c9dbb
113,7 Years,Lukas Graham,2015,https://www.youtube.com/watch?v=LHCob76kigA,Lukas Graham - 7 Years [Official Music Video],24ecf1fc202432d33e74a711b7baa1a1a8f5c5a24003f15fbdff90b4f2771cae
114,Day-O (The Banana Boat Song),Harry Belafonte,1956,https://www.youtube.com/watch?v=YO7M0Hx_1D8,Day O (Banana Boat Song),3aa3ea8f92208d8d33510adb6870a70dba08abc279b3d1c655a08a76f6254ee2
115,Blinding Lights,The Weeknd,2019,https://www.youtube.com/watch?v=fHI8X4OXluQ,The Weeknd - Blinding Lights (Official Audio),8bb65422df595fcd79964ecf4b1d4582f48852e2a97bd01ee8b24b91d1c9d22a
116,Yakety Yak,The Coasters,1958,https://www.youtube.com/watch?v=epCN0f7FTIY,Yakety Yak (2007 Remaster),691d390531e8e09cf9ed11dc0e2b7e414f27b4cd18fe85ed38cfe0f43076ed7c
117,Crazy In Love,Beyoncé (feat. Jay-Z),2003,https://www.youtube.com/watch?v=ViwtNLUqkMY,Beyoncé - Crazy In Love ft. JAY Z,7e31969c34b63b85fb7182b566979e0b79d5d17ef946556e31841e166e6bd500
118,What I've Done,LinkinPark,2007,https://www.youtube.com/watch?v=Jrprk5dNboI,What I've Done,10c694fd70350f0d505f19b053436dffd3d054221b52c8644e2adfd248e57d36
119,Respect,Aretha Franklin,1967,https://www.youtube.com/watch?v=9iayJ8u4Qew,Respect,b3b49901cb7f050808d3c6ba031f0fba5c8e06235f5fb0cae161398568734c4b
120,Do Wah Diddy Diddy,Mandred Mann,1964,https://www.youtube.com/watch?v=1UingsUi0mI,Do Wah Diddy Diddy,462e7b973ae8eabf2af29d5af045c47986fc281f1fb78b1362d2ecb81176c884
121,Blurred Lines,"Robin Thicke, T.I. & Pharrell",2013,https://www.youtube.com/watch?v=zwT6DZCQi9k,"Robin Thicke - Blurred Lines (Unrated Version) ft. T.I., Pharrell",8c7a18ef0a9426337b85e92ada71c13f2e1780799608299f1d24fe8c61f0bb97
122,Umbrella,Rihanna Jay-Z,2007,https://www.youtube.com/watch?v=crVOEJ2FwLE,Rihanna - Umbrella (official video),2aa36b3550d3f4ec352c97fb537ceb53863444c6b8269cbdeab27788c4415ef0
123,Congratulations,Cliff Richard,1968,https://www.youtube.com/watch?v=770f-pwPe4o,Congratulations,c0427a75afd3077b47fdb332bc73fb4c535d6173857dd4c90e19462228a6413f
124,Barbra Streisand,Duck Sauce,2010,https://www.youtube.com/watch?v=rZZGsRD1aJI,Duck Sauce - Barbra Streisand,1d932fa1c5aad96f248954b18ff1da2919a4d9a3d8a02493708ff92bd1931296
125,Dream Lover,Bobby Darin,1959,https://www.youtube.com/watch?v=wVHAQX5sSaU,Bobby Darin - Dream Lover,5611ccfb5b4779b55bc32a23011eed949234531ac56e03ba21717147e2fe9963
